features,aggregate
DARC|2532,0.0034761875788579984
DCLRE1C|64421,0.003041866630921564
DCP1B|196513,0.0027752747440755216
DCTN1|1639,0.00265283253407718
DCTN5|84516,0.002344337626852118
DCXR|51181,0.0017564992560688479
DDB1|1642,0.002677011476987566
DDC|1644,0.0039583809816194065
DDEF1|50807,0.006510193668604216
DDX17|10521,0.003440144407774489
DDX58|23586,0.004429606450153081
DDX59|83479,0.0015292227538044646
DECR2|26063,0.0016591474348847208
DEFA5|1670,0.000685346898683382
DENND1B|163486,0.0022147727272082843
DENND4C|55667,0.0017749399128117289
DENR|8562,0.003683068802125251
DGCR11|25786,0.005117268246426763
DGCR5|26220,0.005386975429554906
DGCR9|25787,0.0024005499607325383
DGKG|1608,0.0023373410339651802
DHRS13|147015,0.0014764020762375566
DHRS2|10202,0.0018806583748066062
DHRS4|10901,0.0024750402055610044
DHRS7C|201140,0.005952751497444217
DHRSX|207063,0.0013692085946482827
DHTKD1|55526,0.0022474036411573167
DHX32|55760,0.002433664112675071
DHX33|56919,0.0016950125534917993
DIABLO|56616,0.000996887576022355
DIAPH2|1730,0.004198498219957605
DIO3|1735,0.006469353217871763
DIRAS2|54769,0.0017190689625163418
DIRAS3|9077,0.002062061427560334
DKFZP434K028|26070,0.002651268503488048
DKFZP547L112|81787,0.005189790329262938
DKFZP564M1462|26101,0.009516495192814467
DKFZP564O0523|84060,0.00806077576040283
DKFZp547J222|84237,0.0009546805044665705
DKFZp564H213|440432,0.00346277201219312
DKKL1|27120,0.002170783390069201
DLEU2L|79469,0.0018940940437740896
DLG4|1742,0.009661177261836292
DLG5|9231,0.003026674128409014
DMAP1|55929,0.0036960306009180635
DMC1|11144,0.006311365900836895
DMP1|1758,0.002861356020570486
DMXL1|1657,0.0014429655639377752
DNAH11|8701,0.001536328925863941
DNAH1|25981,0.002280091773498816
DNAJA4|55466,0.0036625376611496016
DNAJB5|25822,0.0029530104335915475
DNAJC14|85406,0.0029596973569251312
DNAJC8|22826,0.00300280626256238
DNMBP|23268,0.0016884895822643713
DOCK11|139818,0.0027063145574362855
DOCK4|9732,0.0010158208303121617
DOK3|79930,0.002144655364193784
DOK6|220164,0.006151003144586178
DPH2|1802,0.005420940657486627
DPM2|8818,0.000792192799887791
DPP4|1803,0.008628072220913451
DPP9|91039,0.0020877107826078245
DPPA3|359787,0.004327755629737144
DPY19L1P1|89231,0.0038632711567761608
DPYSL4|10570,0.001896023394016782
DSC2|1824,0.0017499315067226304
DSEL|92126,0.0011351417363319636
DTNBP1|84062,0.0018912829636216321
DTWD2|285605,0.008955937177477136
DTX4|23220,0.0008487538001252083
DULLARD|23399,0.002407138198853375
DUOX1|53905,0.0008766822290045531
DUSP1|1843,0.001072440078694946
DUSP26|78986,0.002628255075596947
