2020-12-08 19:02:56.991965 

No Pre-selection of Features
This run includes 3 GCNs - mRNA, DNA methylation, miRNA 


Training...
Epoch 0, Train loss: C1:2.15e-01, C2:1.38e-01, C3:6.62e-02, C:3.85e-01
Epoch 206, Train loss: C1:1.54e+01, C2:4.59e+02, C3:3.60e-03, C:1.85e-01
Epoch 207, Train loss: C1:1.79e+01, C2:2.80e+02, C3:3.58e-03, C:2.06e-01
Epoch 208, Train loss: C1:2.60e+01, C2:3.09e+02, C3:3.62e-03, C:2.16e-01
Epoch 209, Train loss: C1:3.52e+01, C2:4.63e+02, C3:3.41e-03, C:1.76e-01
Epoch 210, Train loss: C1:3.74e+01, C2:6.27e+02, C3:3.47e-03, C:2.23e-01
Epoch 211, Train loss: C1:3.80e+01, C2:8.14e+02, C3:3.63e-03, C:1.73e-01
Epoch 212, Train loss: C1:4.12e+01, C2:8.96e+02, C3:3.67e-03, C:2.21e-01
Epoch 213, Train loss: C1:6.12e+01, C2:7.47e+02, C3:3.57e-03, C:1.81e-01
Epoch 214, Train loss: C1:1.05e+02, C2:5.18e+02, C3:3.46e-03, C:2.07e-01
Epoch 215, Train loss: C1:1.84e+02, C2:2.60e+02, C3:3.69e-03, C:1.83e-01
Epoch 216, Train loss: C1:3.12e+02, C2:2.50e+02, C3:3.65e-03, C:1.88e-01
Epoch 217, Train loss: C1:4.98e+02, C2:4.30e+02, C3:3.51e-03, C:1.82e-01
Epoch 218, Train loss: C1:7.20e+02, C2:5.18e+02, C3:3.58e-03, C:1.91e-01
Epoch 219, Train loss: C1:9.66e+02, C2:4.22e+02, C3:3.57e-03, C:1.76e-01
Epoch 220, Train loss: C1:1.06e+03, C2:2.17e+02, C3:3.48e-03, C:1.95e-01
Epoch 221, Train loss: C1:8.80e+02, C2:1.67e+02, C3:3.57e-03, C:1.59e-01
Epoch 222, Train loss: C1:4.30e+02, C2:3.28e+02, C3:3.42e-03, C:1.99e-01
Epoch 223, Train loss: C1:5.65e+01, C2:4.31e+02, C3:3.42e-03, C:1.81e-01
Epoch 224, Train loss: C1:6.97e+01, C2:3.54e+02, C3:3.41e-03, C:1.76e-01
Epoch 225, Train loss: C1:3.42e+02, C2:2.60e+02, C3:3.38e-03, C:1.83e-01
Epoch 226, Train loss: C1:4.26e+02, C2:1.93e+02, C3:3.36e-03, C:1.90e-01
