,lr,weight_decay,dropout,adj_parameter,tr_acc,tr_F1,test_acc,test_F1
136,0.001,0.005,0.25,5,0.9110047846889953,0.9080833472064069,0.782608695652174,0.790116216100198
137,0.001,0.005,0.25,8,0.9291866028708134,0.9281940762357712,0.8152173913043478,0.8216120310998142
138,0.001,0.005,0.5,2,0.8842105263157894,0.8769806186764231,0.7065217391304348,0.7132865606036625
139,0.001,0.005,0.5,5,0.9234449760765551,0.9210724803814274,0.7934782608695652,0.8010430069948583
140,0.001,0.005,0.5,8,0.9272727272727272,0.9264114308141917,0.8097826086956522,0.8174024219204324
141,0.001,0.005,0.75,2,0.8669856459330143,0.8597055035021267,0.7663043478260869,0.7717420721040393
142,0.001,0.005,0.75,5,0.8641148325358852,0.8569907265017854,0.7445652173913043,0.7494030540754028
143,0.001,0.005,0.75,8,0.9234449760765551,0.9221379421757007,0.8315217391304348,0.8375943953650793
144,0.005,0.0005,0.1,2,0.9961722488038277,0.9961744670197907,0.8315217391304348,0.8306758460945481
145,0.005,0.0005,0.1,5,0.9942583732057416,0.9942514557418464,0.8097826086956522,0.8150770429327807
146,0.005,0.0005,0.1,8,0.9952153110047847,0.9952083662347051,0.7880434782608695,0.7951389779540018
147,0.005,0.0005,0.25,2,0.9933014354066986,0.9932922011414036,0.8152173913043478,0.8212985527058754
148,0.005,0.0005,0.25,5,0.9923444976076555,0.9923327092043438,0.75,0.7604252422716534
149,0.005,0.0005,0.25,8,0.9904306220095693,0.9904027930782932,0.8043478260869565,0.812144837063763
150,0.005,0.0005,0.5,2,0.9808612440191388,0.9808129311538495,0.8206521739130435,0.8261397994724895
151,0.005,0.0005,0.5,5,0.9952153110047847,0.995210661049571,0.8369565217391305,0.8404667304055254
152,0.005,0.0005,0.5,8,0.9894736842105263,0.9894527722725471,0.8315217391304348,0.8348234083692547
153,0.005,0.0005,0.75,2,0.9799043062200957,0.97987389186318,0.8152173913043478,0.8216208511493714
154,0.005,0.0005,0.75,5,0.9712918660287081,0.9709126463042085,0.782608695652174,0.7949823656678818
155,0.005,0.0005,0.75,8,0.9885167464114832,0.9884759141206181,0.75,0.7573582262906257
156,0.005,0.001,0.1,2,0.9808612440191388,0.9808196450809546,0.8097826086956522,0.8177715428752105
157,0.005,0.001,0.1,5,0.9866028708133971,0.9865918083601325,0.7717391304347826,0.7822428171229691
158,0.005,0.001,0.1,8,0.9808612440191388,0.9808916519953172,0.7934782608695652,0.80013792714481
159,0.005,0.001,0.25,2,0.9741626794258373,0.9741173200927004,0.8369565217391305,0.8402179253041129
160,0.005,0.001,0.25,5,0.9808612440191388,0.9809659217645454,0.782608695652174,0.7928583489914248
161,0.005,0.001,0.25,8,0.9837320574162679,0.9837226970238757,0.75,0.7573553448839491
162,0.005,0.001,0.5,2,0.9588516746411483,0.9588333031979214,0.8152173913043478,0.8228880667852926
163,0.005,0.001,0.5,5,0.9741626794258373,0.9741138218027409,0.7663043478260869,0.7777849632386358
164,0.005,0.001,0.5,8,0.9789473684210527,0.9789447884846538,0.7554347826086957,0.766873525025699
165,0.005,0.001,0.75,2,0.937799043062201,0.9368611096531468,0.7934782608695652,0.8008324027584135
166,0.005,0.001,0.75,5,0.9636363636363636,0.9635202673045787,0.7391304347826086,0.7492627213085411
167,0.005,0.001,0.75,8,0.9607655502392345,0.9604852454489191,0.782608695652174,0.7910926307614722
168,0.005,0.003,0.1,2,0.9416267942583733,0.9412513903297502,0.8315217391304348,0.8364121532599794
169,0.005,0.003,0.1,5,0.9358851674641149,0.9350841456646872,0.8152173913043478,0.8226318370611271
170,0.005,0.003,0.1,8,0.9483253588516747,0.9481628971055472,0.8478260869565217,0.8510169285105347
171,0.005,0.003,0.25,2,0.9521531100478469,0.9518954289307187,0.8532608695652174,0.8568471522902961
172,0.005,0.003,0.25,5,0.9320574162679426,0.9316763316387022,0.7771739130434783,0.785299474735841
173,0.005,0.003,0.25,8,0.9540669856459331,0.9541927883514699,0.6847826086956522,0.6914030378165206
174,0.005,0.003,0.5,2,0.9320574162679426,0.932215623474826,0.8097826086956522,0.8158823829903292
175,0.005,0.003,0.5,5,0.9320574162679426,0.9305442632569143,0.7445652173913043,0.7559931086754509
176,0.005,0.003,0.5,8,0.9483253588516747,0.947706834597259,0.717391304347826,0.7311524795412394
177,0.005,0.003,0.75,2,0.8,0.7939761603571731,0.7391304347826086,0.7493343595351674
178,0.005,0.003,0.75,5,0.7741626794258373,0.7742564673083088,0.5217391304347826,0.47601542358063514
179,0.005,0.003,0.75,8,0.845933014354067,0.8420583797028907,0.5434782608695652,0.5307991726809668
180,0.005,0.005,0.1,2,0.9444976076555024,0.9437542008361256,0.8369565217391305,0.8418672143861181
181,0.005,0.005,0.1,5,0.9119617224880383,0.9097371450872335,0.7282608695652174,0.7369449881164074
182,0.005,0.005,0.1,8,0.9253588516746412,0.9232940716193603,0.842391304347826,0.8467256223804476
183,0.005,0.005,0.25,2,0.8717703349282296,0.8687729699732236,0.8641304347826086,0.8663833702769957
184,0.005,0.005,0.25,5,0.907177033492823,0.9044483358103061,0.7880434782608695,0.795856917060653
185,0.005,0.005,0.25,8,0.9282296650717703,0.9269008109262346,0.8586956521739131,0.8615951899808375
186,0.005,0.005,0.5,2,0.8880382775119617,0.8856302535767073,0.8369565217391305,0.8417060975908136
187,0.005,0.005,0.5,5,0.9339712918660287,0.9333287709934601,0.8315217391304348,0.8366579714248271
188,0.005,0.005,0.5,8,0.9196172248803828,0.9185995628222169,0.7228260869565217,0.7315211712325655
189,0.005,0.005,0.75,2,0.2,0.06666666666666667,0.1358695652173913,0.03250468067401706
190,0.005,0.005,0.75,5,0.44593301435406696,0.3646522502110267,0.3641304347826087,0.25505579567627235
191,0.005,0.005,0.75,8,0.769377990430622,0.7659803598559409,0.8315217391304348,0.8324389165636327
192,0.01,0.0005,0.1,2,0.9827751196172249,0.9828251801766154,0.8260869565217391,0.8185378248182944
193,0.01,0.0005,0.1,5,0.9894736842105263,0.9894460034794165,0.8478260869565217,0.8357439105703466
194,0.01,0.0005,0.1,8,0.9885167464114832,0.9885069489517264,0.8152173913043478,0.8120519621963259
195,0.01,0.0005,0.25,2,0.9913875598086125,0.9913896350691993,0.7989130434782609,0.7890180421736335
196,0.01,0.0005,0.25,5,0.9827751196172249,0.9826954702648647,0.8369565217391305,0.8355345056256125
197,0.01,0.0005,0.25,8,0.9818181818181818,0.9817490956060612,0.8260869565217391,0.8229222807462848
198,0.01,0.0005,0.5,2,0.9818181818181818,0.9818020853310516,0.8315217391304348,0.8264892593164733
199,0.01,0.0005,0.5,5,0.9875598086124402,0.9875850149323184,0.8315217391304348,0.8280609106598827
200,0.01,0.0005,0.5,8,0.9837320574162679,0.9837356236042089,0.8097826086956522,0.808814095863885
201,0.01,0.0005,0.75,2,0.9598086124401913,0.9598364022608608,0.7880434782608695,0.784773068741307
202,0.01,0.0005,0.75,5,0.9531100478468899,0.9519955203921865,0.7445652173913043,0.7521711715998858
203,0.01,0.0005,0.75,8,0.9540669856459331,0.9526255046551154,0.7717391304347826,0.7794517825475448
204,0.01,0.001,0.1,2,0.9559808612440192,0.9554679458649731,0.7989130434782609,0.8051465954307296
205,0.01,0.001,0.1,5,0.970334928229665,0.9702830180759205,0.8097826086956522,0.8134992118820812
206,0.01,0.001,0.1,8,0.939712918660287,0.9375572728079004,0.7608695652173914,0.7693095607043707
207,0.01,0.001,0.25,2,0.9502392344497608,0.9490471740801039,0.8206521739130435,0.821650731141977
208,0.01,0.001,0.25,5,0.9521531100478469,0.9514219638998549,0.7934782608695652,0.7981697478071427
209,0.01,0.001,0.25,8,0.9617224880382775,0.961771992816639,0.7989130434782609,0.806317300843599
210,0.01,0.001,0.5,2,0.9483253588516747,0.9481155873304202,0.7934782608695652,0.7960734930376598
211,0.01,0.001,0.5,5,0.9444976076555024,0.9442482805948926,0.7934782608695652,0.7965239023404876
212,0.01,0.001,0.5,8,0.9511961722488038,0.9517759252566882,0.8097826086956522,0.8145026400867831
213,0.01,0.001,0.75,2,0.8880382775119617,0.887420516048462,0.8206521739130435,0.8081623411674024
214,0.01,0.001,0.75,5,0.9253588516746412,0.9254301598310524,0.8152173913043478,0.8211742789965077
215,0.01,0.001,0.75,8,0.9157894736842105,0.9136692438649062,0.7010869565217391,0.7180135538817121
216,0.01,0.003,0.1,2,0.7971291866028708,0.7947796348824675,0.842391304347826,0.8454864871614585
217,0.01,0.003,0.1,5,0.8181818181818182,0.8119404455437441,0.5380434782608695,0.5325365847638297
218,0.01,0.003,0.1,8,0.8411483253588516,0.8378723215324857,0.6847826086956522,0.6970395709771324
219,0.01,0.003,0.25,2,0.7645933014354067,0.7639799935911047,0.7445652173913043,0.7611117326755548
220,0.01,0.003,0.25,5,0.7569377990430622,0.7640772899620407,0.7336956521739131,0.7514611828774064
221,0.01,0.003,0.25,8,0.7866028708133971,0.7787023982202136,0.5869565217391305,0.5965299414571914
222,0.01,0.003,0.5,2,0.6210526315789474,0.6072912683680792,0.7554347826086957,0.7394889282357313
223,0.01,0.003,0.5,5,0.6650717703349283,0.6504829216796019,0.6413043478260869,0.6553979876146662
224,0.01,0.003,0.5,8,0.6794258373205742,0.6779889043392453,0.3804347826086957,0.2899436261801807
225,0.01,0.003,0.75,2,0.5607655502392345,0.5320776278571372,0.5978260869565217,0.5890308631509804
226,0.01,0.003,0.75,5,0.4507177033492823,0.41968013508920377,0.2608695652173913,0.16045892573409545
227,0.01,0.003,0.75,8,0.6,0.5965863192334291,0.43478260869565216,0.3521579288314223
228,0.01,0.005,0.1,2,0.5023923444976076,0.4241514613432339,0.375,0.25470088873466085
229,0.01,0.005,0.1,5,0.6535885167464115,0.6212536995430902,0.6358695652173914,0.6184028208848475
