2020-10-28 14:39:57.011852 

This run includes 6 GCNs: mRNA, miRNA, meth, naive_mRNA-mRNA, naive_miRNA-miRNA, naive_meth-meth 


Training...
Epoch 0, Train loss: C1:1.23e-01, C2:2.21e-01, C3:7.16e-02, C4:1.07e-01, C5:6.41e-02, C6:6.52e-02, C:5.53e-01
Epoch 109, Train loss: C1:1.38e-02, C2:1.66e-02, C3:1.34e-02, C4:1.42e+02, C5:4.00e+04, C6:7.48e+00, C:2.17e-01
Epoch 110, Train loss: C1:1.37e-02, C2:1.64e-02, C3:1.34e-02, C4:6.27e+01, C5:3.90e+04, C6:6.17e+00, C:2.31e-01
Epoch 111, Train loss: C1:1.33e-02, C2:1.63e-02, C3:1.31e-02, C4:3.75e+01, C5:9.75e+03, C6:7.90e+00, C:2.24e-01
Epoch 112, Train loss: C1:1.37e-02, C2:1.65e-02, C3:1.37e-02, C4:4.90e+01, C5:3.94e+03, C6:7.36e+00, C:2.18e-01
Epoch 113, Train loss: C1:1.33e-02, C2:1.64e-02, C3:1.34e-02, C4:1.32e+02, C5:2.03e+04, C6:5.75e+00, C:2.35e-01
Epoch 114, Train loss: C1:1.34e-02, C2:1.65e-02, C3:1.35e-02, C4:2.60e+02, C5:4.05e+03, C6:6.37e+00, C:2.17e-01
Epoch 115, Train loss: C1:1.34e-02, C2:1.67e-02, C3:1.34e-02, C4:4.12e+02, C5:6.70e+03, C6:7.01e+00, C:2.88e-01
Epoch 116, Train loss: C1:1.35e-02, C2:1.62e-02, C3:1.32e-02, C4:5.41e+02, C5:9.36e+03, C6:6.78e+00, C:2.71e-01
Epoch 117, Train loss: C1:1.32e-02, C2:1.64e-02, C3:1.32e-02, C4:5.98e+02, C5:1.28e+03, C6:5.84e+00, C:2.52e-01
Epoch 118, Train loss: C1:1.35e-02, C2:1.64e-02, C3:1.28e-02, C4:5.33e+02, C5:8.46e+03, C6:5.45e+00, C:2.22e-01
Epoch 119, Train loss: C1:1.33e-02, C2:1.61e-02, C3:1.32e-02, C4:3.91e+02, C5:3.75e+02, C6:6.53e+00, C:2.02e-01
Epoch 120, Train loss: C1:1.33e-02, C2:1.62e-02, C3:1.28e-02, C4:2.17e+02, C5:6.21e+03, C6:9.19e+00, C:2.83e-01
Epoch 121, Train loss: C1:1.34e-02, C2:1.60e-02, C3:1.30e-02, C4:8.40e+01, C5:3.35e+02, C6:1.19e+01, C:2.66e-01
Epoch 122, Train loss: C1:1.30e-02, C2:1.63e-02, C3:1.31e-02, C4:3.52e+01, C5:4.69e+03, C6:1.73e+01, C:3.84e-01
Epoch 123, Train loss: C1:1.31e-02, C2:1.60e-02, C3:1.29e-02, C4:1.08e+02, C5:3.73e+02, C6:2.32e+01, C:2.32e-01
Epoch 124, Train loss: C1:1.29e-02, C2:1.62e-02, C3:1.33e-02, C4:2.41e+02, C5:3.23e+03, C6:2.67e+01, C:3.29e-01
Epoch 125, Train loss: C1:1.31e-02, C2:1.61e-02, C3:1.29e-02, C4:3.33e+02, C5:7.27e+02, C6:3.43e+01, C:2.25e-01
Epoch 126, Train loss: C1:1.30e-02, C2:1.61e-02, C3:1.30e-02, C4:3.06e+02, C5:1.86e+03, C6:4.86e+01, C:2.13e-01
Epoch 127, Train loss: C1:1.27e-02, C2:1.62e-02, C3:1.28e-02, C4:1.79e+02, C5:1.33e+03, C6:7.38e+01, C:2.24e-01
Epoch 128, Train loss: C1:1.27e-02, C2:1.64e-02, C3:1.25e-02, C4:7.02e+01, C5:7.72e+02, C6:1.10e+02, C:2.35e-01
Epoch 129, Train loss: C1:1.27e-02, C2:1.65e-02, C3:1.29e-02, C4:3.40e+01, C5:1.71e+03, C6:1.42e+02, C:3.92e-01
Epoch 130, Train loss: C1:1.27e-02, C2:1.62e-02, C3:1.25e-02, C4:6.47e+01, C5:1.37e+02, C6:1.59e+02, C:2.43e-01
Epoch 131, Train loss: C1:1.28e-02, C2:1.63e-02, C3:1.25e-02, C4:1.26e+02, C5:1.45e+03, C6:1.36e+02, C:3.11e-01
Epoch 132, Train loss: C1:1.29e-02, C2:1.61e-02, C3:1.29e-02, C4:1.85e+02, C5:2.89e+02, C6:8.19e+01, C:2.42e-01
Epoch 133, Train loss: C1:1.27e-02, C2:1.61e-02, C3:1.26e-02, C4:1.98e+02, C5:6.99e+02, C6:2.25e+01, C:2.56e-01
Epoch 134, Train loss: C1:1.29e-02, C2:1.62e-02, C3:1.26e-02, C4:1.54e+02, C5:7.98e+02, C6:6.65e+00, C:2.62e-01
